,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
2812,3261.0,54.35,28451100000.0,-3602500000.0,57.262719999999995,221.0,247.0,38.0,10,667.2636653953217,3171.25,1589.68359375,3000,0.00731625769097505,0.12662076334482675
2813,3261.0,54.35,28451100000.0,-1986870000.0,57.262719999999995,216.0,253.0,34.0,10,852.3510796664264,3870.0,1589.68359375,3000,0.002298006267775653,0.06983455824203634
2814,3261.0,54.35,28451100000.0,-194928000.0,57.262719999999995,216.0,253.0,34.0,10,59.70706924001316,1558.75,1589.68359375,3000,0.007990670882958918,0.0068513343948037155
2815,3261.0,54.35,28451100000.0,-193436000.0,57.262719999999995,216.0,253.0,34.0,10,99.13161198732395,3225.0,1589.68359375,3000,0.0023083765447968027,0.006798893540144318
2816,3262.0,54.366666666666696,23649700000.0,-2856530000.0,57.2855,213.0,203.0,81.0,10,311.81953192760534,4461.25,1589.68359375,3000,0.031731120463643854,0.12078504167071887
2817,3262.0,54.366666666666696,23649700000.0,-376685000.0,57.2855,216.0,253.0,34.0,10,131.62836391784222,2150.0,1589.68359375,3000,0.005078104344519714,0.01592768618629412
2818,3263.0,54.383333333333304,25604700000.0,-2737640000.0,57.302319999999995,213.0,203.0,81.0,10,201.046940896255,3010.0,1589.68359375,3000,0.06990671063028006,0.10691943276039165
2819,3263.0,54.383333333333304,25604700000.0,-627702000.0,57.302319999999995,232.0,264.0,41.0,10,361.9220259831929,3547.5,1589.68359375,3000,0.002297234596409603,0.024515108554288862
2820,3263.0,54.383333333333304,25604700000.0,-1166040000.0,57.302319999999995,232.0,264.0,41.0,10,248.42763785071503,2902.5,1589.68359375,3000,0.007598547184785921,0.04554007662655684
2821,3264.0,54.4,26276100000.0,-3316300000.0,57.307140000000004,214.0,204.0,81.0,10,627.5981001854226,3816.25,1589.68359375,3000,0.021396457131233216,0.12620974954426264
2822,3264.0,54.4,26276100000.0,-1023200000.0,57.307140000000004,204.0,337.0,44.0,10,373.6979324374614,3010.0,1589.68359375,3000,0.004673463854286239,0.038940329805412524
2823,3265.0,54.4166666666667,27407100000.0,-1350070000.0,57.3178,201.0,337.0,43.0,10,401.6720398903269,3332.5,1589.68359375,3000,0.005029845476880739,0.04925986332008859
2824,3266.0,54.4333333333333,26195100000.0,-3830370000.0,57.4094,216.0,201.0,79.0,10,375.7897571860817,4353.75,1589.68359375,3000,0.034086933544896954,0.14622467560727007
2825,3266.0,54.4333333333333,26195100000.0,-893677000.0,57.4094,218.0,241.0,37.0,10,177.55519116685926,2956.25,1589.68359375,3000,0.007102211132956484,0.03411618966906024
2826,3267.0,54.45,25771900000.0,-2478920000.0,57.5387,218.0,241.0,37.0,10,760.6511523348967,3655.0,1589.68359375,3000,0.0037194363640965216,0.09618693227895499
2827,3268.0,54.4666666666667,25443900000.0,-3812270000.0,57.58203,216.0,201.0,79.0,10,315.7094833747,4837.5,1589.68359375,3000,0.03634382883789989,0.14983041121840598
2828,3268.0,54.4666666666667,25443900000.0,-902240000.0,57.58203,201.0,337.0,43.0,10,612.9476281243394,3708.75,1589.68359375,3000,0.001979298362369158,0.035459972724307204
2829,3269.0,54.4833333333333,26154200000.0,-779765000.0,57.67281,201.0,337.0,43.0,10,330.50041526185527,3762.5,1589.68359375,3000,0.0031271976854525606,0.029814140749860444
2830,3269.0,54.4833333333333,26154200000.0,-1508270000.0,57.67281,203.0,340.0,42.0,10,370.95053425975317,2795.0,1589.68359375,3000,0.007041999095851514,0.05766836683974275
2831,3270.0,54.5,25929100000.0,-1336930000.0,57.77518000000001,177.0,336.0,38.0,10,479.6234133083215,3708.75,1589.68359375,3000,0.0032299343497214847,0.05156098746196359
2832,3271.0,54.5166666666667,25399100000.0,-3762470000.0,57.76951999999999,215.0,202.0,80.0,10,509.5895607158597,4192.5,1589.68359375,3000,0.026415602179623052,0.14813398899961022
2833,3271.0,54.5166666666667,25399100000.0,-1868720000.0,57.76951999999999,206.0,338.0,44.0,10,704.0158259002609,3708.75,1589.68359375,3000,0.00367705223729227,0.07357426050529349
2834,3272.0,54.5333333333333,24834800000.0,-2953950000.0,57.7691,213.0,202.0,81.0,10,238.07363675996388,3440.0,1589.68359375,3000,0.05573652467735209,0.11894398183194549
2835,3272.0,54.5333333333333,24834800000.0,-1229850000.0,57.7691,206.0,338.0,44.0,10,228.4763741139504,2687.5,1589.68359375,3000,0.0102902972896216,0.049521236329666436
2836,3272.0,54.5333333333333,24834800000.0,-290572000.0,57.7691,222.0,245.0,38.0,10,211.563402945294,3440.0,1589.68359375,3000,0.0017158042425657,0.011700194887818706
2837,3273.0,54.55,25548100000.0,-3985170000.0,57.82006,215.0,201.0,80.0,10,396.32476033266863,4783.75,1589.68359375,3000,0.031528857597865216,0.15598694227750792
2838,3273.0,54.55,25548100000.0,-766638000.0,57.82006,217.0,256.0,35.0,10,210.3221054902766,2848.75,1589.68359375,3000,0.005029070819267706,0.030007632661528647
2839,3274.0,54.5666666666667,25529700000.0,-1696840000.0,57.73993000000001,221.0,254.0,38.0,10,658.1624789260853,3440.0,1589.68359375,3000,0.003220789130828455,0.06646533253426401
2840,3275.0,54.5833333333333,26225000000.0,-3102320000.0,57.687709999999996,215.0,201.0,80.0,10,229.79805091386768,3547.5,1589.68359375,3000,0.05708196452408061,0.11829628217349857
2841,3275.0,54.5833333333333,26225000000.0,-888717000.0,57.687709999999996,221.0,254.0,38.0,10,402.41085001304697,3386.25,1589.68359375,3000,0.0028027718632978975,0.033888160152526214
2842,3275.0,54.5833333333333,26225000000.0,-200587000.0,57.687709999999996,221.0,254.0,38.0,10,115.78892836833643,1720.0,1589.68359375,3000,0.004328328983777382,0.007648693994280267
2843,3275.0,54.5833333333333,26225000000.0,-746560000.0,57.687709999999996,221.0,254.0,38.0,10,125.17881584234408,1881.25,1589.68359375,3000,0.013623864840938329,0.02846749285033365
2844,3275.0,54.5833333333333,26225000000.0,-1290230000.0,57.687709999999996,202.0,336.0,44.0,10,233.66045593870098,2741.25,1589.68359375,3000,0.010349010284223081,0.04919847473784557
2845,3275.0,54.5833333333333,26225000000.0,-327211000.0,57.687709999999996,264.0,298.0,47.0,10,162.93228486247625,2633.75,1589.68359375,3000,0.004283394147415414,0.012477063870352717
2846,3276.0,54.6,24582900000.0,-575039000.0,57.73185,264.0,298.0,47.0,10,146.68657323762002,1881.25,1589.68359375,3000,0.011705831394420715,0.02339182927970256
2847,3277.0,54.616666666666696,26613900000.0,-3030470000.0,57.814640000000004,215.0,204.0,81.0,10,235.4814515833477,3440.0,1589.68359375,3000,0.05780978268764216,0.11386794118862699
2848,3277.0,54.616666666666696,26613900000.0,-1000250000.0,57.814640000000004,263.0,298.0,45.0,10,220.80162819447742,3278.75,1589.68359375,3000,0.00731288869175338,0.037583743833109765
2849,3277.0,54.616666666666696,26613900000.0,-1495960000.0,57.814640000000004,223.0,243.0,39.0,10,719.5644194290172,4031.25,1589.68359375,3000,0.0022832263137806744,0.05620972499333055
2850,3278.0,54.633333333333304,26423500000.0,-4173340000.0,57.84626,215.0,204.0,81.0,10,417.6594885956503,4837.5,1589.68359375,3000,0.031918827677909246,0.15794046965769107
2851,3279.0,54.65,27984900000.0,-2747250000.0,57.88183000000001,204.0,339.0,43.0,10,307.4689003021578,2902.5,1589.68359375,3000,0.01535199694624952,0.09816901257463846
